tab_code,表章項目,cat01_code,2015年基準品目,area_code,地域（2015年基準）,time_code,時間軸（年・月）,unit,value,annotation
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021001212,2021年12月,,111,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021001111,2021年11月,,110,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021001010,2021年10月,,108.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000909,2021年9月,,107.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000808,2021年8月,,106.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000707,2021年7月,,105.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000606,2021年6月,,104.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000505,2021年5月,,102.6,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000404,2021年4月,,100.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000303,2021年3月,,99.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000202,2021年2月,,99.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2021000101,2021年1月,,100.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020001212,2020年12月,,99.5,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020001111,2020年11月,,98.4,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020001010,2020年10月,,97.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000909,2020年9月,,98.5,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000808,2020年8月,,101.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000707,2020年7月,,104,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000606,2020年6月,,106,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000505,2020年5月,,106.5,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000404,2020年4月,,106.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000303,2020年3月,,105.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000202,2020年2月,,105.6,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2020000101,2020年1月,,105.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019001212,2019年12月,,106.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019001111,2019年11月,,106.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019001010,2019年10月,,105.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000909,2019年9月,,106.4,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000808,2019年8月,,106.2,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000707,2019年7月,,105.5,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000606,2019年6月,,105,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000505,2019年5月,,105.6,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000404,2019年4月,,107.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000303,2019年3月,,108.4,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000202,2019年2月,,108.7,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2019000101,2019年1月,,108.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018001212,2018年12月,,107.7,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018001111,2018年11月,,107.6,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018001010,2018年10月,,106.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000909,2018年9月,,105.7,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000808,2018年8月,,104.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000707,2018年7月,,104.7,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000606,2018年6月,,104.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000505,2018年5月,,104.7,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000404,2018年4月,,103.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000303,2018年3月,,102.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000202,2018年2月,,101.7,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2018000101,2018年1月,,100.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017001212,2017年12月,,100.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017001111,2017年11月,,100.4,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017001010,2017年10月,,100.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000909,2017年9月,,101.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000808,2017年8月,,101.5,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000707,2017年7月,,101.6,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000606,2017年6月,,101.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000505,2017年5月,,101.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000404,2017年4月,,98.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000303,2017年3月,,97.5,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000202,2017年2月,,96.6,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2017000101,2017年1月,,96,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016001212,2016年12月,,96.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016001111,2016年11月,,96.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016001010,2016年10月,,96.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000909,2016年9月,,95.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000808,2016年8月,,95,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000707,2016年7月,,94.6,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000606,2016年6月,,94.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000505,2016年5月,,96.2,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000404,2016年4月,,95.5,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000303,2016年3月,,96.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000202,2016年2月,,96.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000101,2016年1月,,98,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021001212,2021年12月,,115.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021001111,2021年11月,,113.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021001010,2021年10月,,111.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000909,2021年9月,,109.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000808,2021年8月,,108.1,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000707,2021年7月,,106.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000606,2021年6月,,104.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000505,2021年5月,,102.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000404,2021年4月,,99.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000303,2021年3月,,98.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000202,2021年2月,,98.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000101,2021年1月,,99,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020001212,2020年12月,,98.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020001111,2020年11月,,97.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020001010,2020年10月,,96.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000909,2020年9月,,98.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000808,2020年8月,,101.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000707,2020年7月,,104.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000606,2020年6月,,106.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000505,2020年5月,,107,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000404,2020年4月,,106.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000303,2020年3月,,106.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000202,2020年2月,,106.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000101,2020年1月,,107,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019001212,2019年12月,,107.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019001111,2019年11月,,108.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019001010,2019年10月,,107.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000909,2019年9月,,108.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000808,2019年8月,,108.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000707,2019年7月,,108.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000606,2019年6月,,107.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000505,2019年5月,,108.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000404,2019年4月,,110.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000303,2019年3月,,111.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000202,2019年2月,,112,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000101,2019年1月,,111.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018001212,2018年12月,,110.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018001111,2018年11月,,110.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018001010,2018年10月,,109.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000909,2018年9月,,108,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000808,2018年8月,,107,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000707,2018年7月,,106.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000606,2018年6月,,106.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000505,2018年5月,,106.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000404,2018年4月,,105.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000303,2018年3月,,104.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000202,2018年2月,,103.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000101,2018年1月,,102.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017001212,2017年12月,,101.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017001111,2017年11月,,101.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017001010,2017年10月,,102.1,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000909,2017年9月,,102.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000808,2017年8月,,102.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000707,2017年7月,,102.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000606,2017年6月,,103.1,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000505,2017年5月,,102.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000404,2017年4月,,99.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000303,2017年3月,,96.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000202,2017年2月,,95.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000101,2017年1月,,94.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016001212,2016年12月,,94.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016001111,2016年11月,,94.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016001010,2016年10月,,94.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000909,2016年9月,,94.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000808,2016年8月,,93.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000707,2016年7月,,93.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000606,2016年6月,,93.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000505,2016年5月,,95.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000404,2016年4月,,94.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000303,2016年3月,,95.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000202,2016年2月,,95.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000101,2016年1月,,97.1,
